,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
10,太 可怜 了 ， 活着 的 人 怎么 受得了 这种 打击,4,4_到底_度过_月_咋整,"['到底', '度过', '月', '咋整', '酸酸的', '模糊', '一劫', '面对', '真可怜', '逃不过', '完', '皆', '受得了', '方式', '听', '留', '泪流满面', '父母亲', '阿弥陀佛', '离开', '伤痛', '开心', '评论', '为啥', '这是', '停车', '受不了', '事', '半点', '不由']","['哎呀 ， 这种 事情 发出 来 心痛 ， 阿弥陀佛 ， 让 他们 在 天堂 一家 过得 开心', '一家人 在 一起 ， 却 没有 想到 会 用 这样 的 方式 在 一起 ， 愿 你们 的 家人 能 节哀 ！ 不 希望 再有 这样 的 事情 发生 了', '这 可 咋整 呀 老天爷 爷 四个 老人 怎么 面对 呀']",到底 - 度过 - 月 - 咋整 - 酸酸的 - 模糊 - 一劫 - 面对 - 真可怜 - 逃不过 - 完 - 皆 - 受得了 - 方式 - 听 - 留 - 泪流满面 - 父母亲 - 阿弥陀佛 - 离开 - 伤痛 - 开心 - 评论 - 为啥 - 这是 - 停车 - 受不了 - 事 - 半点 - 不由,1.0,False
11,老人 该 怎么 活 ， 要 老人 的 命 啊 ！ 流泪,88,88_感觉_洪水_无处不在_危险,"['感觉', '洪水', '无处不在', '危险', '冤枉', '事情', '无情', '痛苦', '命', '悲哀', '真', '两家', '难受', '灾难', '父母', '活', '老人', '一家人', '可惜', '可怜', '心疼', '太', '流泪', '', '', '', '', '', '', '']","['凄惨 ！ 洪水 无情', '悲哀 ！ 难受 的 感觉', '好 可怜 啊 流泪 ！ 危险 无处不在 流泪']",感觉 - 洪水 - 无处不在 - 危险 - 冤枉 - 事情 - 无情 - 痛苦 - 命 - 悲哀 - 真 - 两家 - 难受 - 灾难 - 父母 - 活 - 老人 - 一家人 - 可惜 - 可怜 - 心疼 - 太 - 流泪 -  -  -  -  -  -  - ,1.0,False
12,一路 走 好 同胞 ， 天堂 安息 吧 流泪 流泪 流泪 流泪 流泪 流泪 流泪 多么 恐惧 的 离去 ， 请问 谁 给 他们 一家人 一个 交代 呢 发怒,111,111_请问_活好_游轮_飞机,"['请问', '活好', '游轮', '飞机', '一轮', '潜意识', '出事', '马航', '之星', '东方', '离去', '一车', '坐', '中', '同胞', '不知', '中午', '珍惜', '当下', '恐惧', '一个', '陌生人', '安好', '世界', '先', '刷到', '安息', '发怒', '香', '意外']","['明天 和 意外 不知 哪个 先 来 ， 活好 当下 ， 珍惜 每 一天 流泪 流泪', '一路 走 好 同胞 ， 天堂 安息 吧 流泪 流泪 流泪 流泪 流泪 流泪 流泪 多么 恐惧 的 离去 ， 请问 谁 给 他们 一家人 一个 交代 呢 发怒', '从 东方 之星 游轮 和 马航 出事 之后 ， 人们 都 在 潜意识 中 一家人 不 同时 坐 一车 一轮 一 飞机 ， 这 叫 双方 父母 怎么 活 流泪 流泪 流泪 流泪 流泪 流泪']",请问 - 活好 - 游轮 - 飞机 - 一轮 - 潜意识 - 出事 - 马航 - 之星 - 东方 - 离去 - 一车 - 坐 - 中 - 同胞 - 不知 - 中午 - 珍惜 - 当下 - 恐惧 - 一个 - 陌生人 - 安好 - 世界 - 先 - 刷到 - 安息 - 发怒 - 香 - 意外,1.0,True
13,太 可怜 了 ， 这么 小 的 年纪 都 走 了 ， 老天 怎么 不 睁眼 ， 双方 父母 怎么 活 流泪 流泪,23,23_钱_停下来_元_快,"['钱', '停下来', '元', '快', '剩下', '睁眼', '急', '善良', '停车', '停下', '公平', '有时候', '好心', '区', '司机', '事', '照顾', '人会', '爸爸', '哥哥', '车', '找到', '万', '投奔', '全家福', '夫妻', '出', '时间', '情况', '更']","['曾经 有人 说 过 ， 照相 能不照 全家福 就 不要 照 全家福 ， 说 是 事事 不能 太 圆满 感谢 感谢 感谢 但 刷 到 很多 这样 全家福 都 是 一家 一家 没有 了 。 不 知道 是不是 太 凑巧 了 感谢 感谢 感谢 说 夫妻 也 不能 太 恩爱 ， 深情 不 长寿 ， 我 真的 有时候 好 怀疑 那些 说话 真的 是 有 那么回事 一样 。 我 姑父 在世 时 夫妻俩 真的 是 别人 羡慕 一对 ， 夫妻 真的 是 好 恩爱 ， 可 我 姑父 确把 我 姑姑 丢 在 半路上 ， 让 她 一辈子 活在 失去 我 姑父 痛苦 中 。 我 姑父 走 了 快 二十年 了 ， 我 姑姑 每次 回娘家 只要 说起 我 姑父 泪流满面 ， 以前 别人 帮 她 介绍 对象 我 姑姑 无法 接受 别人 ， 现如今 六十岁 了 。 守 着 儿女 ， 孙子 们 过 开心 很多 了 。', '你 是 善良 的 人 ， 像 这种 情况 停车 看看 。 问 一下 什么 事 ， 没 钱 加油 ， 救个 急 给 100 元 ， 行善 事 ， 天在 保佑 你 ！ 如果 感到 不合理 。 可以 开车 走 。', '你 是 善良 的 人 ， 像 这种 情况 停车 看看 。 问 一下 什么 事 ， 没 钱 加油 ， 救个 急 给 100 元 ， 行善 事 ， 天在 保佑 你 ！ 如果 感到 不合理 。 可以 开车 走 。']",钱 - 停下来 - 元 - 快 - 剩下 - 睁眼 - 急 - 善良 - 停车 - 停下 - 公平 - 有时候 - 好心 - 区 - 司机 - 事 - 照顾 - 人会 - 爸爸 - 哥哥 - 车 - 找到 - 万 - 投奔 - 全家福 - 夫妻 - 出 - 时间 - 情况 - 更,1.0,False
14,多 可惜 的 一家人 。 人 咋 能 知道 遇到 什么 事情 ？ 流泪,88,88_感觉_洪水_无处不在_危险,"['感觉', '洪水', '无处不在', '危险', '冤枉', '事情', '无情', '痛苦', '命', '悲哀', '真', '两家', '难受', '灾难', '父母', '活', '老人', '一家人', '可惜', '可怜', '心疼', '太', '流泪', '', '', '', '', '', '', '']","['凄惨 ！ 洪水 无情', '悲哀 ！ 难受 的 感觉', '好 可怜 啊 流泪 ！ 危险 无处不在 流泪']",感觉 - 洪水 - 无处不在 - 危险 - 冤枉 - 事情 - 无情 - 痛苦 - 命 - 悲哀 - 真 - 两家 - 难受 - 灾难 - 父母 - 活 - 老人 - 一家人 - 可惜 - 可怜 - 心疼 - 太 - 流泪 -  -  -  -  -  -  - ,0.5947388328028516,False
15,太 可惜 了 流泪 痛煞 人 也 流泪,-1,-1_果_凋谢_投奔_希望,"['果', '凋谢', '投奔', '希望', '爸爸', '人会', '哥哥', '照顾', '顺才', '神', '香三枉', '相亲相爱', '生命', '只能', '比心', '口', '心', '爷爷', '平安', '表达', '一生', '受得了', '造孽', '一家子', '原', '世界', '少', '顺风', '顺水', '看不得']","['感谢 感谢 感谢 感谢 感谢 感谢 感谢 感谢 如果 有 好心人 ， 知道 哪里 路段 坏掉 ， 他 这么 的 好心 在 公路 中间 跪下 求 你们 ， 大家 车 停下来 ， 你 就要 马上 停下 ， 不要 这 样子 ， 开车 好像 出风头 的 一样 ， 不听话 你 就 后悔药 买不到 ， 人家 好人 一生 平安 ， 这 样子 看到 会 心酸 吗 ？ 真的 太 可怜 了 ， 以后 全 天下 的 司机 ， 如果 碰到 有 什么 事情 ， 有 好心人 站 出来 能 吃 ， 你 一定 要 减速 下来 停下来 ， 这个 不是 为 你们 大家 好 吗 ？ 平安 果 平安 果 平安 果 平安 果 平安 果 平安 果 平安 果 平安 果', '你们 只是 去 了 另外 一个 世界 ， 到 那边 还有 我 的 爷爷 爸爸 ， 哥哥 ， 他们 先到 的 你们 一家 去 投奔 他们 ， 他们 是 善良 的 人会 照顾 你们 一家 四口 的 。 流泪 流泪 流泪', '你们 只是 去 了 另外 一个 世界 ， 到 那边 还有 我 的 爷爷 爸爸 ， 哥哥 ， 他们 先到 的 你们 一家 去 投奔 他们 ， 他们 是 善良 的 人会 照顾 你们 一家 四口 的 。 流泪 流泪 流泪']",果 - 凋谢 - 投奔 - 希望 - 爸爸 - 人会 - 哥哥 - 照顾 - 顺才 - 神 - 香三枉 - 相亲相爱 - 生命 - 只能 - 比心 - 口 - 心 - 爷爷 - 平安 - 表达 - 一生 - 受得了 - 造孽 - 一家子 - 原 - 世界 - 少 - 顺风 - 顺水 - 看不得,0.0,False
16,欲哭无泪 ， 痛心,115,115_国家_追责_天_发怒,"['国家', '追责', '天', '发怒', '太惨', '可怜', '痛心', '太', '流泪', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['唉 ， 太 可怜 了 流泪', '天 ， 太惨 了 流泪', '国家 要 赔偿 ， 追责 发怒']",国家 - 追责 - 天 - 发怒 - 太惨 - 可怜 - 痛心 - 太 - 流泪 -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  - ,1.0,False
17,能 不能不要 发 这个 ， 家人 的 伤痛 上 撒盐,4,4_到底_度过_月_咋整,"['到底', '度过', '月', '咋整', '酸酸的', '模糊', '一劫', '面对', '真可怜', '逃不过', '完', '皆', '受得了', '方式', '听', '留', '泪流满面', '父母亲', '阿弥陀佛', '离开', '伤痛', '开心', '评论', '为啥', '这是', '停车', '受不了', '事', '半点', '不由']","['哎呀 ， 这种 事情 发出 来 心痛 ， 阿弥陀佛 ， 让 他们 在 天堂 一家 过得 开心', '一家人 在 一起 ， 却 没有 想到 会 用 这样 的 方式 在 一起 ， 愿 你们 的 家人 能 节哀 ！ 不 希望 再有 这样 的 事情 发生 了', '这 可 咋整 呀 老天爷 爷 四个 老人 怎么 面对 呀']",到底 - 度过 - 月 - 咋整 - 酸酸的 - 模糊 - 一劫 - 面对 - 真可怜 - 逃不过 - 完 - 皆 - 受得了 - 方式 - 听 - 留 - 泪流满面 - 父母亲 - 阿弥陀佛 - 离开 - 伤痛 - 开心 - 评论 - 为啥 - 这是 - 停车 - 受不了 - 事 - 半点 - 不由,0.8365639468698091,False
18,太 可怜 了 ， 这么 小 的 年纪 都 走 了 ， 老天 怎么 不 睁眼 ， 双方 父母 怎么 活 流泪 流泪 流泪 流泪,23,23_钱_停下来_元_快,"['钱', '停下来', '元', '快', '剩下', '睁眼', '急', '善良', '停车', '停下', '公平', '有时候', '好心', '区', '司机', '事', '照顾', '人会', '爸爸', '哥哥', '车', '找到', '万', '投奔', '全家福', '夫妻', '出', '时间', '情况', '更']","['曾经 有人 说 过 ， 照相 能不照 全家福 就 不要 照 全家福 ， 说 是 事事 不能 太 圆满 感谢 感谢 感谢 但 刷 到 很多 这样 全家福 都 是 一家 一家 没有 了 。 不 知道 是不是 太 凑巧 了 感谢 感谢 感谢 说 夫妻 也 不能 太 恩爱 ， 深情 不 长寿 ， 我 真的 有时候 好 怀疑 那些 说话 真的 是 有 那么回事 一样 。 我 姑父 在世 时 夫妻俩 真的 是 别人 羡慕 一对 ， 夫妻 真的 是 好 恩爱 ， 可 我 姑父 确把 我 姑姑 丢 在 半路上 ， 让 她 一辈子 活在 失去 我 姑父 痛苦 中 。 我 姑父 走 了 快 二十年 了 ， 我 姑姑 每次 回娘家 只要 说起 我 姑父 泪流满面 ， 以前 别人 帮 她 介绍 对象 我 姑姑 无法 接受 别人 ， 现如今 六十岁 了 。 守 着 儿女 ， 孙子 们 过 开心 很多 了 。', '你 是 善良 的 人 ， 像 这种 情况 停车 看看 。 问 一下 什么 事 ， 没 钱 加油 ， 救个 急 给 100 元 ， 行善 事 ， 天在 保佑 你 ！ 如果 感到 不合理 。 可以 开车 走 。', '你 是 善良 的 人 ， 像 这种 情况 停车 看看 。 问 一下 什么 事 ， 没 钱 加油 ， 救个 急 给 100 元 ， 行善 事 ， 天在 保佑 你 ！ 如果 感到 不合理 。 可以 开车 走 。']",钱 - 停下来 - 元 - 快 - 剩下 - 睁眼 - 急 - 善良 - 停车 - 停下 - 公平 - 有时候 - 好心 - 区 - 司机 - 事 - 照顾 - 人会 - 爸爸 - 哥哥 - 车 - 找到 - 万 - 投奔 - 全家福 - 夫妻 - 出 - 时间 - 情况 - 更,0.6949685954333686,False
19,唉 流泪 可怜 可惜 ！ 命 呀 ！ 上苍 怎么 能 把 孩子 们 都 一起 带走 流泪 流泪 流泪 心痛 万分 ！,61,61_带走_痛心疾首_同胞_残酷,"['带走', '痛心疾首', '同胞', '残酷', '承受', '逝者', '揪心', '疼', '安息', '默哀', '孩子', '世界', '家人', '命', '痛', '灾难', '活', '真', '天堂', '两家', '一路', '愿', '走', '老人', '可怜', '心痛', '痛心', '可惜', '太', '流泪']","['一路 走 好 ， 同胞 可惜 了 ， 让 家人 怎么 活 。', '唉 流泪 可怜 可惜 ！ 命 呀 ！ 上苍 怎么 能 把 孩子 们 都 一起 带走 流泪 流泪 流泪 心痛 万分 ！', '流泪 揪心 的 疼 感谢 感谢 感谢 天堂 没有 灾难 孩子 们 ！']",带走 - 痛心疾首 - 同胞 - 残酷 - 承受 - 逝者 - 揪心 - 疼 - 安息 - 默哀 - 孩子 - 世界 - 家人 - 命 - 痛 - 灾难 - 活 - 真 - 天堂 - 两家 - 一路 - 愿 - 走 - 老人 - 可怜 - 心痛 - 痛心 - 可惜 - 太 - 流泪,0.5388454199987498,True
20,可 想 他们 当时 是 多么 绝望 啊 流泪,70,70_颤_绝望_老人家_四个,"['颤', '绝望', '老人家', '四个', '想', '承受', '好好', '悲伤', '两边', '接受', '四口', '孩子', '一家', '伤心', '老人', '没', '活', '看着', '可怜', '一家人', '心痛', '太', '可惜', '流泪', '', '', '', '', '', '']","['看 得 我心 颤 ， 太 可惜 了 一家 四口 流泪', '一下子 四个 老人家 怎么 承受 得 起 流泪', '可 想 他们 当时 是 多么 绝望 啊 流泪']",颤 - 绝望 - 老人家 - 四个 - 想 - 承受 - 好好 - 悲伤 - 两边 - 接受 - 四口 - 孩子 - 一家 - 伤心 - 老人 - 没 - 活 - 看着 - 可怜 - 一家人 - 心痛 - 太 - 可惜 - 流泪 -  -  -  -  -  - ,0.6423702943674172,True
